,Service_provider,technology,Download_Upload,Data_Speed(Kbps),signal_strength,Service_Area
75,JIO,4G,download,1094,-81.0,Kerala
76,JIO,4G,download,716,-79.0,Kerala
77,JIO,4G,download,185,-65.0,Kolkata
78,VODAFONE,3G,download,9931,,Tamil Nadu
79,VODAFONE,3G,upload,2768,,Tamil Nadu
80,AIRTEL,4G,download,8050,-105.0,UP West
81,AIRTEL,4G,download,6379,-92.0,UP West
82,AIRTEL,4G,download,2504,-86.0,UP West
83,AIRTEL,4G,download,15841,-91.0,UP West
84,AIRTEL,4G,download,18602,-92.0,UP West
85,AIRTEL,4G,download,20271,-93.0,UP West
86,AIRTEL,4G,download,9269,-79.0,UP West
87,AIRTEL,4G,download,10282,-82.0,UP West
88,AIRTEL,4G,download,11006,-85.0,UP West
89,AIRTEL,4G,download,24000,-85.0,UP West
90,AIRTEL,4G,download,6334,-82.0,UP West
91,AIRTEL,4G,download,8365,-94.0,UP West
92,AIRTEL,4G,upload,527,-105.0,UP West
93,AIRTEL,4G,upload,2420,-92.0,UP West
94,AIRTEL,4G,upload,7605,-86.0,UP West
95,AIRTEL,4G,upload,492,-91.0,UP West
96,AIRTEL,4G,upload,671,-92.0,UP West
97,AIRTEL,4G,upload,724,-93.0,UP West
98,AIRTEL,4G,upload,177,-79.0,UP West
99,AIRTEL,4G,upload,4001,-82.0,UP West
100,AIRTEL,4G,upload,3896,-85.0,UP West
101,AIRTEL,4G,upload,4769,-85.0,UP West
102,AIRTEL,4G,upload,1166,-82.0,UP West
103,AIRTEL,4G,upload,1769,-95.0,UP West
104,JIO,4G,download,313,,Bihar
105,JIO,4G,upload,3,,Bihar
106,AIRTEL,4G,download,4483,-65.0,UP East
107,AIRTEL,4G,download,488,-61.0,UP East
108,AIRTEL,4G,download,16226,-63.0,UP East
109,AIRTEL,4G,download,878,-81.0,UP East
110,AIRTEL,4G,download,754,-81.0,UP East
111,AIRTEL,4G,download,1849,-83.0,UP East
112,AIRTEL,4G,download,13658,-55.0,UP East
113,AIRTEL,4G,download,11651,-57.0,UP East
114,AIRTEL,4G,download,409,-65.0,UP East
115,AIRTEL,4G,download,960,-67.0,UP East
116,AIRTEL,4G,download,1712,-69.0,UP East
117,AIRTEL,4G,download,6272,-53.0,UP East
118,AIRTEL,4G,download,4036,-57.0,UP East
119,JIO,4G,download,352,-87.0,Mumbai
120,VODAFONE,4G,download,662,-71.0,Mumbai
121,VODAFONE,4G,download,2953,-77.0,Mumbai
122,VODAFONE,4G,download,437,-67.0,Mumbai
123,VODAFONE,4G,download,1506,-71.0,Mumbai
124,VODAFONE,4G,download,2066,-75.0,Mumbai
125,VODAFONE,4G,download,11637,-73.0,Mumbai
126,VODAFONE,4G,download,9615,-55.0,Mumbai
127,VODAFONE,4G,download,5766,-51.0,Mumbai
128,VODAFONE,4G,download,22815,-73.0,Mumbai
129,JIO,4G,upload,115,-87.0,Mumbai
130,VODAFONE,4G,upload,535,-71.0,Mumbai
131,VODAFONE,4G,upload,244,-73.0,Mumbai
132,VODAFONE,4G,upload,251,-77.0,Mumbai
133,VODAFONE,4G,upload,643,-71.0,Mumbai
134,VODAFONE,4G,upload,281,-75.0,Mumbai
135,VODAFONE,4G,upload,3949,-73.0,Mumbai
136,VODAFONE,4G,upload,18161,-53.0,Mumbai
137,VODAFONE,4G,upload,5716,-51.0,Mumbai
138,VODAFONE,4G,upload,6252,-71.0,Mumbai
139,JIO,4G,download,80724,-61.0,Orissa
140,JIO,4G,download,79977,-61.0,Orissa
141,JIO,4G,upload,8769,-61.0,Orissa
142,JIO,4G,upload,8597,-61.0,Orissa
143,JIO,4G,download,19955,-51.0,Rajasthan
144,JIO,4G,download,687,-57.0,Rajasthan
145,JIO,4G,download,1192,-57.0,Rajasthan
146,JIO,4G,download,482,-57.0,Rajasthan
147,JIO,4G,upload,6959,-51.0,Rajasthan
148,JIO,4G,upload,2041,-57.0,Rajasthan
149,JIO,4G,upload,2706,-55.0,Rajasthan
150,JIO,4G,upload,3090,-57.0,Rajasthan
151,JIO,4G,download,80671,-61.0,UP West
152,JIO,4G,download,80298,-61.0,UP West
153,JIO,4G,download,80523,-61.0,UP West
154,JIO,4G,download,80086,-61.0,UP West
155,JIO,4G,download,80694,-61.0,UP West
156,JIO,4G,upload,8493,-61.0,UP West
157,JIO,4G,upload,8631,-61.0,UP West
158,JIO,4G,upload,8899,-61.0,UP West
159,JIO,4G,upload,8725,-61.0,UP West
160,JIO,4G,upload,8655,-61.0,UP West
161,AIRTEL,4G,download,4,-83.0,Delhi
162,AIRTEL,4G,download,1,-89.0,Delhi
163,AIRTEL,4G,upload,5928,-83.0,Delhi
164,AIRTEL,4G,upload,5007,-89.0,Delhi
165,AIRTEL,4G,download,325,,Andhra Pradesh
166,AIRTEL,4G,upload,1796,,Andhra Pradesh
167,JIO,4G,download,389,-103.0,Assam
168,JIO,4G,download,448,-103.0,Assam
169,JIO,4G,download,23756,-93.0,Assam
170,JIO,4G,download,659,-105.0,Assam
171,JIO,4G,download,1676,-105.0,Assam
172,JIO,4G,download,829,-103.0,Assam
173,JIO,4G,download,5665,-91.0,Assam
174,JIO,4G,download,6282,-91.0,Assam
175,JIO,4G,download,13,-107.0,Assam
176,JIO,4G,download,758,-107.0,Assam
177,JIO,4G,download,884,-105.0,Assam
178,JIO,4G,download,788,-107.0,Assam
179,JIO,4G,download,381,-103.0,Assam
180,JIO,4G,download,191,-105.0,Assam
181,JIO,4G,download,840,-103.0,Assam
182,JIO,4G,download,932,-103.0,Assam
183,JIO,4G,download,828,-105.0,Assam
184,JIO,4G,download,1017,-101.0,Assam
185,JIO,4G,download,608,-107.0,Assam
186,JIO,4G,download,2742,-105.0,Assam
187,JIO,4G,download,1008,-103.0,Assam
188,JIO,4G,download,87,-105.0,Assam
189,JIO,4G,download,1278,-101.0,Assam
190,JIO,4G,download,527,-101.0,Assam
191,JIO,4G,download,990,-99.0,Assam
192,JIO,4G,download,617,-105.0,Assam
193,JIO,4G,download,641,-101.0,Assam
194,JIO,4G,download,1016,-103.0,Assam
195,JIO,4G,download,410,-103.0,Assam
196,JIO,4G,download,980,-103.0,Assam
197,JIO,4G,download,496,-101.0,Assam
198,JIO,4G,download,1012,-101.0,Assam
199,JIO,4G,download,18029,-103.0,Assam
200,JIO,4G,download,9185,-91.0,Assam
201,JIO,4G,download,4919,-105.0,Assam
202,JIO,4G,download,174,-105.0,Assam
203,JIO,4G,download,1824,-107.0,Assam
204,JIO,4G,download,433,-103.0,Assam
205,JIO,4G,download,603,-103.0,Assam
206,JIO,4G,download,1094,-109.0,Assam
207,JIO,4G,download,19226,-99.0,Assam
208,JIO,4G,download,439,-103.0,Assam
209,JIO,4G,download,309,-103.0,Assam
210,JIO,4G,download,548,-103.0,Assam
211,JIO,4G,download,1027,-105.0,Assam
212,JIO,4G,download,327,-99.0,Assam
213,JIO,4G,download,167,-95.0,Assam
214,JIO,4G,download,34,-93.0,Assam
215,JIO,4G,download,159,-97.0,Assam
216,JIO,4G,download,3279,-91.0,Assam
217,JIO,4G,download,2171,-101.0,Assam
218,JIO,4G,download,1386,-101.0,Assam
219,JIO,4G,download,1692,-103.0,Assam
220,JIO,4G,download,1304,-99.0,Assam
221,JIO,4G,download,708,-89.0,Assam
222,JIO,4G,download,1132,-99.0,Assam
223,JIO,4G,download,2232,-89.0,Assam
224,JIO,4G,download,1907,-99.0,Assam
225,JIO,4G,download,1177,-99.0,Assam
226,JIO,4G,download,1228,-97.0,Assam
227,JIO,4G,download,1116,-101.0,Assam
228,JIO,4G,download,3346,-95.0,Assam
229,JIO,4G,download,1709,-97.0,Assam
230,JIO,4G,download,1266,-99.0,Assam
231,JIO,4G,download,713,-105.0,Assam
232,JIO,4G,download,925,-97.0,Assam
233,JIO,4G,download,966,-97.0,Assam
234,JIO,4G,download,429,-97.0,Assam
235,JIO,4G,download,893,-99.0,Assam
236,JIO,4G,download,461,-105.0,Assam
237,JIO,4G,download,960,-101.0,Assam
238,JIO,4G,download,696,-101.0,Assam
239,JIO,4G,download,758,-105.0,Assam
240,JIO,4G,download,563,-101.0,Assam
241,JIO,4G,download,27,-99.0,Assam
242,JIO,4G,download,34,-97.0,Assam
243,JIO,4G,download,37,-99.0,Assam
244,JIO,4G,download,1171,-101.0,Assam
245,JIO,4G,download,386,-103.0,Assam
246,JIO,4G,download,87,-105.0,Assam
247,JIO,4G,download,616,-107.0,Assam
248,JIO,4G,download,530,-107.0,Assam
249,JIO,4G,download,1025,-107.0,Assam
250,JIO,4G,download,193,-107.0,Assam
251,JIO,4G,download,950,-105.0,Assam
252,JIO,4G,download,1237,-107.0,Assam
253,JIO,4G,download,190,-107.0,Assam
254,JIO,4G,download,211,-107.0,Assam
255,JIO,4G,download,2442,-107.0,Assam
256,JIO,4G,download,382,-107.0,Assam
257,JIO,4G,download,23,-107.0,Assam
258,JIO,4G,download,190,-107.0,Assam
259,JIO,4G,download,546,-111.0,Assam
260,JIO,4G,download,1283,-107.0,Assam
261,JIO,4G,download,1064,-109.0,Assam
262,JIO,4G,download,605,-109.0,Assam
263,JIO,4G,download,3846,-109.0,Assam
264,JIO,4G,download,248,-107.0,Assam
265,JIO,4G,download,853,-107.0,Assam
266,JIO,4G,download,2521,-107.0,Assam
267,JIO,4G,download,1910,-109.0,Assam
268,JIO,4G,download,2346,-109.0,Assam
269,JIO,4G,download,1082,-107.0,Assam
270,JIO,4G,download,509,,Assam
271,JIO,4G,download,638,-103.0,Assam
272,JIO,4G,download,427,-103.0,Assam
273,JIO,4G,download,352,-101.0,Assam
274,JIO,4G,download,13494,-99.0,Assam
275,JIO,4G,download,20621,-101.0,Assam
276,JIO,4G,download,864,-111.0,Assam
277,JIO,4G,download,1077,-109.0,Assam
278,JIO,4G,download,859,-109.0,Assam
279,JIO,4G,download,22317,-103.0,Assam
280,JIO,4G,download,654,-105.0,Assam
281,JIO,4G,download,325,-105.0,Assam
282,JIO,4G,download,792,-103.0,Assam
283,JIO,4G,download,10886,-97.0,Assam
284,JIO,4G,download,509,-105.0,Assam
285,JIO,4G,download,1211,-103.0,Assam
286,JIO,4G,download,185,-105.0,Assam
287,JIO,4G,download,775,-105.0,Assam
288,JIO,4G,download,193,-107.0,Assam
289,JIO,4G,download,1985,-89.0,Assam
290,JIO,4G,download,2642,-91.0,Assam
291,JIO,4G,download,358,-105.0,Assam
292,JIO,4G,download,474,-107.0,Assam
293,JIO,4G,download,270,-105.0,Assam
294,JIO,4G,download,326,-107.0,Assam
295,JIO,4G,download,3125,-93.0,Assam
296,JIO,4G,download,1715,-105.0,Assam
297,JIO,4G,download,468,-95.0,Assam
298,JIO,4G,download,273,-103.0,Assam
299,JIO,4G,download,115,-103.0,Assam
300,JIO,4G,download,813,-107.0,Assam
301,JIO,4G,download,511,-101.0,Assam
302,JIO,4G,download,552,-97.0,Assam
303,JIO,4G,download,507,-97.0,Assam
304,JIO,4G,download,1132,-103.0,Assam
305,JIO,4G,download,340,-99.0,Assam
306,JIO,4G,download,402,-101.0,Assam
307,JIO,4G,download,1091,-95.0,Assam
308,JIO,4G,download,656,-101.0,Assam
309,JIO,4G,download,511,-103.0,Assam
310,JIO,4G,download,323,-99.0,Assam
311,JIO,4G,download,273,-101.0,Assam
312,JIO,4G,download,733,-93.0,Assam
313,JIO,4G,download,281,-95.0,Assam
314,JIO,4G,download,1430,-105.0,Assam
315,JIO,4G,download,1439,-103.0,Assam
316,JIO,4G,download,9391,-107.0,Assam
317,JIO,4G,download,593,-101.0,Assam
318,JIO,4G,download,7720,-87.0,Assam
319,JIO,4G,download,633,-97.0,Assam
320,JIO,4G,download,622,-101.0,Assam
321,JIO,4G,upload,60,-103.0,Assam
322,JIO,4G,upload,385,-105.0,Assam
323,JIO,4G,upload,17601,-91.0,Assam
324,JIO,4G,upload,308,-105.0,Assam
325,JIO,4G,upload,571,-105.0,Assam
326,JIO,4G,upload,655,-103.0,Assam
327,JIO,4G,upload,11750,-91.0,Assam
328,JIO,4G,upload,12307,-91.0,Assam
329,JIO,4G,upload,367,-107.0,Assam
330,JIO,4G,upload,304,-107.0,Assam
331,JIO,4G,upload,324,-107.0,Assam
332,JIO,4G,upload,384,-107.0,Assam
333,JIO,4G,upload,283,-105.0,Assam
334,JIO,4G,upload,512,-105.0,Assam
335,JIO,4G,upload,215,-103.0,Assam
336,JIO,4G,upload,173,-103.0,Assam
337,JIO,4G,upload,153,-103.0,Assam
338,JIO,4G,upload,29,-107.0,Assam
339,JIO,4G,upload,214,-107.0,Assam
340,JIO,4G,upload,102,-103.0,Assam
341,JIO,4G,upload,232,-105.0,Assam
342,JIO,4G,upload,241,-107.0,Assam
343,JIO,4G,upload,167,-101.0,Assam
344,JIO,4G,upload,434,-103.0,Assam
345,JIO,4G,upload,367,-101.0,Assam
346,JIO,4G,upload,265,-105.0,Assam
347,JIO,4G,upload,88,-101.0,Assam
348,JIO,4G,upload,191,-101.0,Assam
349,JIO,4G,upload,185,-105.0,Assam
350,JIO,4G,upload,57,-103.0,Assam
351,JIO,4G,upload,174,-101.0,Assam
352,JIO,4G,upload,253,-97.0,Assam
353,JIO,4G,upload,5059,-101.0,Assam
354,JIO,4G,upload,11083,-91.0,Assam
355,JIO,4G,upload,343,-105.0,Assam
356,JIO,4G,upload,547,-101.0,Assam
357,JIO,4G,upload,309,-109.0,Assam
358,JIO,4G,upload,27,-107.0,Assam
359,JIO,4G,upload,272,-101.0,Assam
360,JIO,4G,upload,327,-107.0,Assam
361,JIO,4G,upload,2981,-103.0,Assam
362,JIO,4G,upload,341,-103.0,Assam
363,JIO,4G,upload,217,-107.0,Assam
364,JIO,4G,upload,153,-109.0,Assam
365,JIO,4G,upload,215,-107.0,Assam
366,JIO,4G,upload,96,-99.0,Assam
367,JIO,4G,upload,468,-95.0,Assam
368,JIO,4G,upload,328,-95.0,Assam
369,JIO,4G,upload,778,-101.0,Assam
370,JIO,4G,upload,9313,-91.0,Assam
371,JIO,4G,upload,750,-101.0,Assam
372,JIO,4G,upload,114,-105.0,Assam
373,JIO,4G,upload,184,-103.0,Assam
374,JIO,4G,upload,89,-99.0,Assam
375,JIO,4G,upload,4084,-89.0,Assam
376,JIO,4G,upload,324,-99.0,Assam
377,JIO,4G,upload,1165,-99.0,Assam
378,JIO,4G,upload,1166,-97.0,Assam
379,JIO,4G,upload,696,-101.0,Assam
380,JIO,4G,upload,510,-99.0,Assam
381,JIO,4G,upload,544,-97.0,Assam
382,JIO,4G,upload,1145,-99.0,Assam
383,JIO,4G,upload,682,-97.0,Assam
384,JIO,4G,upload,560,-99.0,Assam
385,JIO,4G,upload,488,-105.0,Assam
386,JIO,4G,upload,574,-97.0,Assam
387,JIO,4G,upload,16,-95.0,Assam
388,JIO,4G,upload,518,-101.0,Assam
389,JIO,4G,upload,825,-105.0,Assam
390,JIO,4G,upload,271,-99.0,Assam
391,JIO,4G,upload,663,-93.0,Assam
392,JIO,4G,upload,1076,-97.0,Assam
393,JIO,4G,upload,260,-103.0,Assam
394,JIO,4G,upload,318,-101.0,Assam
395,JIO,4G,upload,452,-97.0,Assam
396,JIO,4G,upload,245,-99.0,Assam
397,JIO,4G,upload,436,-103.0,Assam
398,JIO,4G,upload,55,-103.0,Assam
399,JIO,4G,upload,63,-103.0,Assam
400,JIO,4G,upload,668,-103.0,Assam
401,JIO,4G,upload,481,-105.0,Assam
402,JIO,4G,upload,226,-105.0,Assam
403,JIO,4G,upload,731,-107.0,Assam
404,JIO,4G,upload,1128,-105.0,Assam
405,JIO,4G,upload,916,-107.0,Assam
406,JIO,4G,upload,838,-105.0,Assam
407,JIO,4G,upload,892,-107.0,Assam
408,JIO,4G,upload,385,-105.0,Assam
409,JIO,4G,upload,289,-107.0,Assam
410,JIO,4G,upload,562,-107.0,Assam
411,JIO,4G,upload,728,-107.0,Assam
412,JIO,4G,upload,393,-107.0,Assam
413,JIO,4G,upload,565,-107.0,Assam
414,JIO,4G,upload,201,-109.0,Assam
415,JIO,4G,upload,410,-107.0,Assam
416,JIO,4G,upload,65,-109.0,Assam
417,JIO,4G,upload,212,-109.0,Assam
418,JIO,4G,upload,678,-109.0,Assam
419,JIO,4G,upload,495,-107.0,Assam
420,JIO,4G,upload,1027,-109.0,Assam
421,JIO,4G,upload,833,-107.0,Assam
422,JIO,4G,upload,1168,-109.0,Assam
423,JIO,4G,upload,384,-109.0,Assam
424,JIO,4G,upload,167,-107.0,Assam
425,JIO,4G,upload,189,,Assam
426,JIO,4G,upload,947,-101.0,Assam
427,JIO,4G,upload,804,-103.0,Assam
428,JIO,4G,upload,655,-101.0,Assam
429,JIO,4G,upload,5048,-99.0,Assam
430,JIO,4G,upload,3656,-99.0,Assam
431,JIO,4G,upload,367,-111.0,Assam
432,JIO,4G,upload,254,-107.0,Assam
433,JIO,4G,upload,299,-109.0,Assam
434,JIO,4G,upload,3902,-103.0,Assam
435,JIO,4G,upload,286,-107.0,Assam
436,JIO,4G,upload,254,-105.0,Assam
437,JIO,4G,upload,516,-103.0,Assam
438,JIO,4G,upload,2648,-97.0,Assam
439,JIO,4G,upload,187,-105.0,Assam
440,JIO,4G,upload,801,-99.0,Assam
441,JIO,4G,upload,595,-103.0,Assam
442,JIO,4G,upload,465,-103.0,Assam
443,JIO,4G,upload,641,-105.0,Assam
444,JIO,4G,upload,10476,-89.0,Assam
445,JIO,4G,upload,8149,-91.0,Assam
446,JIO,4G,upload,143,-105.0,Assam
447,JIO,4G,upload,461,-107.0,Assam
448,JIO,4G,upload,210,-105.0,Assam
449,JIO,4G,upload,198,-105.0,Assam
450,JIO,4G,upload,7199,-93.0,Assam
451,JIO,4G,upload,182,-105.0,Assam
452,JIO,4G,upload,321,-99.0,Assam
453,JIO,4G,upload,476,-103.0,Assam
454,JIO,4G,upload,519,-103.0,Assam
455,JIO,4G,upload,267,-105.0,Assam
456,JIO,4G,upload,1169,-101.0,Assam
457,JIO,4G,upload,354,-107.0,Assam
458,JIO,4G,upload,624,-101.0,Assam
459,JIO,4G,upload,379,-103.0,Assam
460,JIO,4G,upload,419,-99.0,Assam
461,JIO,4G,upload,237,-103.0,Assam
462,JIO,4G,upload,733,-97.0,Assam
463,JIO,4G,upload,446,-103.0,Assam
464,JIO,4G,upload,1165,-105.0,Assam
465,JIO,4G,upload,99,-99.0,Assam
466,JIO,4G,upload,425,-105.0,Assam
467,JIO,4G,upload,271,-93.0,Assam
468,JIO,4G,upload,549,-95.0,Assam
469,JIO,4G,upload,515,-105.0,Assam
470,JIO,4G,upload,775,-101.0,Assam
471,JIO,4G,upload,1387,-103.0,Assam
472,JIO,4G,upload,58,-101.0,Assam
473,JIO,4G,upload,1928,-101.0,Assam
474,JIO,4G,upload,35,-101.0,Assam
475,JIO,4G,upload,90,-101.0,Assam
476,VODAFONE,4G,download,4726,-107.0,West Bengal
477,VODAFONE,4G,download,2386,,West Bengal
478,VODAFONE,4G,download,24098,-109.0,West Bengal
479,VODAFONE,4G,download,9830,-107.0,West Bengal
480,VODAFONE,4G,download,21471,-109.0,West Bengal
481,VODAFONE,4G,download,8446,-105.0,West Bengal
482,VODAFONE,4G,download,12367,-109.0,West Bengal
483,VODAFONE,4G,download,7389,-107.0,West Bengal
484,VODAFONE,4G,download,2305,,West Bengal
485,VODAFONE,4G,upload,6039,,West Bengal
486,VODAFONE,4G,upload,1251,-111.0,West Bengal
487,VODAFONE,4G,upload,5407,-109.0,West Bengal
488,VODAFONE,4G,upload,5,-107.0,West Bengal
489,VODAFONE,4G,upload,613,-109.0,West Bengal
490,VODAFONE,4G,upload,1391,-105.0,West Bengal
491,VODAFONE,4G,upload,3069,-109.0,West Bengal
492,VODAFONE,4G,upload,1242,-107.0,West Bengal
493,VODAFONE,4G,upload,3474,,West Bengal
494,JIO,4G,download,1176,-103.0,Bihar
495,JIO,4G,upload,281,-103.0,Bihar
496,JIO,4G,upload,8670,-61.0,UP West
497,AIRTEL,4G,download,4355,-71.0,Andhra Pradesh
498,AIRTEL,4G,upload,1580,-71.0,Andhra Pradesh
499,CELLONE,3G,download,3365,,Madhya Pradesh
500,CELLONE,3G,download,8701,,Madhya Pradesh
501,CELLONE,3G,upload,1858,,Madhya Pradesh
502,CELLONE,3G,upload,1907,,Madhya Pradesh
503,JIO,4G,download,1577,-112.0,Kerala
504,JIO,4G,upload,233,-112.0,Kerala
505,AIRTEL,4G,download,468,,Delhi
506,AIRTEL,4G,upload,360,-105.0,Delhi
507,VODAFONE,4G,download,4230,,Chennai
508,AIRTEL,4G,download,863,,Chennai
509,AIRTEL,4G,download,8155,,Chennai
510,AIRTEL,4G,download,22477,,Chennai
511,VODAFONE,4G,upload,651,,Chennai
512,AIRTEL,4G,upload,8494,,Chennai
513,AIRTEL,4G,upload,2513,,Chennai
514,AIRTEL,4G,upload,4196,,Chennai
515,AIRTEL,4G,download,13984,-84.0,Rajasthan
516,AIRTEL,4G,upload,17277,-84.0,Rajasthan
517,IDEA,4G,download,719,-103.0,Maharashtra
518,IDEA,4G,upload,1965,-103.0,Maharashtra
519,IDEA,4G,upload,18444,-88.0,Madhya Pradesh
520,IDEA,4G,upload,17962,-86.0,Madhya Pradesh
521,IDEA,4G,upload,3501,-91.0,Madhya Pradesh
522,IDEA,4G,upload,2676,-102.0,Madhya Pradesh
523,IDEA,4G,upload,457,-102.0,Madhya Pradesh
524,IDEA,4G,upload,489,-103.0,Madhya Pradesh
525,JIO,4G,download,2277,-105.0,Tamil Nadu
526,JIO,4G,upload,779,-105.0,Tamil Nadu
527,JIO,4G,download,40195,-71.0,Rajasthan
528,JIO,4G,download,6432,-71.0,Rajasthan
529,JIO,4G,upload,7928,-71.0,Rajasthan
530,JIO,4G,upload,8150,-71.0,Rajasthan
531,JIO,4G,download,1419,-98.0,Rajasthan
532,JIO,4G,download,3901,-98.0,Rajasthan
533,JIO,4G,upload,1883,-98.0,Rajasthan
534,JIO,4G,upload,2263,-97.0,Rajasthan
535,AIRTEL,4G,download,12498,-102.0,Rajasthan
536,AIRTEL,4G,download,990,-105.0,Madhya Pradesh
537,AIRTEL,4G,upload,46,-104.0,Madhya Pradesh
538,AIRTEL,4G,download,6670,-105.0,Kerala
539,AIRTEL,4G,download,6778,-106.0,Kerala
540,AIRTEL,4G,download,12162,-105.0,Kerala
541,AIRTEL,4G,download,8084,-108.0,Kerala
542,AIRTEL,4G,upload,3534,-108.0,Kerala
543,AIRTEL,4G,upload,3453,-105.0,Kerala
544,AIRTEL,4G,upload,5215,-105.0,Kerala
545,AIRTEL,4G,upload,3231,-109.0,Kerala
546,JIO,4G,download,38071,-63.0,Orissa
547,JIO,4G,download,7252,-63.0,Orissa
548,JIO,4G,download,2344,-73.0,Kerala
549,JIO,4G,download,15464,-57.0,Kerala
550,JIO,4G,upload,59,-73.0,Kerala
551,JIO,4G,upload,109,-57.0,Kerala
552,JIO,4G,download,77245,-70.0,Rajasthan
553,JIO,4G,upload,8492,-70.0,Rajasthan
554,JIO,4G,download,78194,-63.0,Gujarat
555,JIO,4G,download,39597,-60.0,Rajasthan
556,JIO,4G,upload,7371,-60.0,Rajasthan
557,JIO,4G,download,4255,-63.0,Bihar
558,JIO,4G,upload,2381,-69.0,Bihar
559,VODAFONE,4G,download,6153,-67.0,UP East
560,VODAFONE,4G,download,11853,-67.0,UP East
561,VODAFONE,4G,download,19385,-67.0,UP East
562,VODAFONE,4G,download,5595,-73.0,UP East
563,VODAFONE,4G,download,2383,-67.0,UP East
564,VODAFONE,4G,download,216,-67.0,UP East
565,VODAFONE,4G,download,1979,-77.0,UP East
