id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date
67,Philadelphia,0.2,127.104,6,East,qexty,Consumer,shorts,Second Class,971,28.5984,2018-01-01,19134,Pennsylvania,2018-01-01
68,Philadelphia,0.5,61.96,4,East,qexty,Corporate,pants,First Class,6475,-53.2856,2018-01-01,19140,Pennsylvania,2018-01-01
69,Newark,0.7,3.438,2,East,kariox,Consumer,headset,Standard Class,9630,-2.5212,2018-01-01,43055,Ohio,2018-01-01
70,Newark,0.2,37.408,7,East,kariox,Consumer,phone,Standard Class,9629,13.0928,2018-01-01,43055,Ohio,2018-01-01
71,Roswell,0,149.95,5,South,fynota,Consumer,chocolates,First Class,1914,65.978,2018-01-01,30076,Georgia,2018-01-01
72,San Francisco,0.15,333.999,3,West,qexty,Consumer,pants,Standard Class,4939,3.9294,2018-01-01,94109,California,2018-01-01
73,San Francisco,0,1325.85,5,West,kariox,Consumer,laptop,Standard Class,4938,238.653,2018-01-01,94109,California,2018-01-01
74,Mount Pleasant,0,545.94,6,South,qexty,Consumer,tshirts,Second Class,2979,87.3504,2018-01-01,29464,South Carolina,2018-01-01
75,Bossier City,0,572.58,6,South,kariox,Corporate,laptop,Second Class,768,34.3548,2018-01-01,71111,Louisiana,2018-01-01
76,Bossier City,0,5.64,3,South,kariox,Corporate,headset,Second Class,767,2.7072,2018-01-01,71111,Louisiana,2018-01-01
77,Bossier City,0,646.74,6,South,fynota,Corporate,chocolates,Second Class,766,258.696,2018-01-01,71111,Louisiana,2018-01-01
78,San Francisco,0,19.9,5,West,kariox,Consumer,television,Standard Class,4940,6.567,2018-01-01,94109,California,2018-01-01
79,Bossier City,0,50.94,3,South,kariox,Corporate,watch,Second Class,765,25.47,2018-01-01,71111,Louisiana,2018-01-01
80,Concord,0.2,129.568,2,West,qexty,Consumer,tshirts,Standard Class,457,-24.294,2018-02-01,94521,California,2018-02-01
81,Dallas,0.8,7.96,2,Central,kariox,Consumer,battery,Standard Class,1334,-13.93,2018-02-01,75220,Texas,2018-02-01
82,Dallas,0.8,1.08,3,Central,kariox,Consumer,headset,Standard Class,1333,-1.728,2018-02-01,75220,Texas,2018-02-01
83,Seattle,0.2,21.36,5,West,kariox,Corporate,headset,Standard Class,7438,7.209,2018-02-01,98105,Washington,2018-02-01
84,Houston,0.2,16.176,3,Central,kariox,Consumer,phone,Second Class,5467,6.066,2018-02-01,77095,Texas,2018-02-01
85,Seattle,0,81.96,2,West,kariox,Corporate,battery,Standard Class,9763,22.9488,2018-02-01,98103,Washington,2018-02-01
86,Seattle,0,239.97,3,West,fynota,Corporate,chocolates,Standard Class,9762,86.3892,2018-02-01,98103,Washington,2018-02-01
87,Chicago,0.2,54.208,14,Central,kariox,Consumer,television,Standard Class,9516,8.8088,2018-02-01,60653,Illinois,2018-02-01
88,Seattle,0,238.62,2,West,kariox,Corporate,charger,Standard Class,9764,4.7724,2018-02-01,98103,Washington,2018-02-01
89,Lubbock,0.6,25.16,5,Central,qexty,Consumer,shorts,Same Day,6082,-11.322,2018-02-01,79424,Texas,2018-02-01
90,Medford,0.2,32.896,4,West,kariox,Consumer,phone,Standard Class,5512,11.1024,2018-03-01,97504,Oregon,2018-02-01
91,Richmond,0,62.31,3,Central,fynota,Corporate,chocolates,Standard Class,4521,22.4316,2018-02-01,47374,Indiana,2018-02-01
92,Richmond,0,20.32,4,Central,qexty,Corporate,shorts,Standard Class,4522,6.9088,2018-02-01,47374,Indiana,2018-02-01
93,Los Angeles,0,12.96,2,West,kariox,Home Office,phone,Standard Class,8504,6.2208,2018-02-01,90049,California,2018-02-01
94,Woodstock,0.8,8.85,5,Central,kariox,Consumer,headset,Standard Class,2883,-13.7175,2018-02-01,60098,Illinois,2018-02-01
95,Moreno Valley,0,19.44,3,West,kariox,Consumer,phone,First Class,7611,9.3312,2018-02-01,92553,California,2018-02-01
96,El Paso,0.2,6.936,3,Central,kariox,Home Office,tablet,Standard Class,6530,2.3409,2018-02-01,79907,Texas,2018-02-01
97,El Paso,0.8,4.428,3,Central,kariox,Home Office,headset,Standard Class,6531,-6.8634,2018-02-01,79907,Texas,2018-02-01
98,Medford,0.2,22.776,3,West,kariox,Consumer,phone,Standard Class,5513,7.6869,2018-03-01,97504,Oregon,2018-02-01
99,Columbus,0.2,19.456,4,East,kariox,Consumer,television,First Class,9464,3.4048,2018-03-01,43229,Ohio,2018-02-01
100,Columbia,0,64.96,2,Central,kariox,Consumer,laptop,Second Class,9260,2.5984,2018-02-01,65203,Missouri,2018-02-01
101,Arlington,0.2,12.624,2,Central,kariox,Consumer,laptop,Standard Class,8223,-2.5248,2018-02-01,76017,Texas,2018-02-01
102,Columbia,0,51.9,3,Central,kariox,Consumer,headset,Second Class,9259,24.393,2018-02-01,65203,Missouri,2018-02-01
103,Columbia,0,332.94,3,Central,qexty,Consumer,shorts,Second Class,9258,53.2704,2018-02-01,65203,Missouri,2018-02-01
104,Columbia,0,9.64,2,Central,kariox,Consumer,headset,Second Class,9257,4.4344,2018-02-01,65203,Missouri,2018-02-01
105,Green Bay,0,468.9,6,Central,fynota,Consumer,chocolates,First Class,541,206.316,2018-02-01,54302,Wisconsin,2018-02-01
106,San Diego,0,12.35,5,West,kariox,Home Office,lighting,Standard Class,1704,5.8045,2018-02-01,92037,California,2018-02-01
107,Saint Petersburg,0.2,180.96,5,South,fynota,Consumer,colddrinks,Standard Class,9139,13.572,2018-02-01,33710,Florida,2018-02-01
108,Seattle,0.2,83.84,2,West,kariox,Consumer,headset,Second Class,1518,27.248,2018-02-01,98105,Washington,2018-02-01
109,Seattle,0.2,13.272,3,West,kariox,Consumer,headset,Second Class,1519,4.3134,2018-02-01,98105,Washington,2018-02-01
110,San Diego,0.2,82.896,3,West,kariox,Home Office,headset,Standard Class,1544,29.0136,2018-02-01,92024,California,2018-02-01
111,San Diego,0,34.24,4,West,kariox,Home Office,phone,Standard Class,1545,16.0928,2018-02-01,92024,California,2018-02-01
112,Escondido,0.2,17.248,2,West,kariox,Corporate,headset,Second Class,8585,6.0368,2018-02-01,92025,California,2018-02-01
113,Chesapeake,0,15,4,South,kariox,Corporate,tablet,First Class,1998,7.2,2018-02-01,23320,Virginia,2018-02-01
114,Chesapeake,0,161.61,1,South,fynota,Corporate,colddrinks,First Class,1999,42.0186,2018-02-01,23320,Virginia,2018-02-01
115,Saint Petersburg,0.7,18.336,2,South,kariox,Consumer,headset,Standard Class,9138,-12.224,2018-02-01,33710,Florida,2018-02-01
116,Romeoville,0.8,8.952,2,Central,kariox,Consumer,headset,Second Class,8981,-14.7708,2018-02-01,60441,Illinois,2018-02-01
117,Chesapeake,0,144.95,5,South,fynota,Corporate,colddrinks,First Class,2000,42.0355,2018-02-01,23320,Virginia,2018-02-01
118,Columbia,0,14.94,3,Central,kariox,Consumer,tablet,Second Class,9256,6.8724,2018-02-01,65203,Missouri,2018-02-01
119,Chesapeake,0,17.46,2,South,kariox,Consumer,headset,Standard Class,5633,8.2062,2018-02-01,23320,Virginia,2018-02-01
120,Chesapeake,0,1256.22,6,South,qexty,Consumer,hoodies,Standard Class,5632,75.3732,2018-02-01,23320,Virginia,2018-02-01
121,Columbia,0,60.89,1,Central,qexty,Consumer,tshirts,Second Class,9255,15.2225,2018-02-01,65203,Missouri,2018-02-01
122,North Las Vegas,0,14.56,2,West,qexty,Home Office,shorts,First Class,9267,5.5328,2018-02-01,89031,Nevada,2018-02-01
123,New York City,0,64.96,4,East,kariox,Corporate,laptop,Second Class,8736,9.744,2018-02-01,10024,New York,2018-02-01
124,Linden,0,115.36,7,East,fynota,Corporate,chocolates,Standard Class,850,49.6048,2018-02-01,7036,New Jersey,2018-02-01
125,Chesapeake,0,234.45,3,South,fynota,Consumer,chocolates,Standard Class,5631,103.158,2018-02-01,23320,Virginia,2018-02-01
126,Lakeland,0.2,20.016,3,South,qexty,Corporate,shorts,First Class,6166,5.5044,2018-03-01,33801,Florida,2018-03-01
127,Springfield,0,14.4,5,South,kariox,Corporate,tablet,Standard Class,7585,6.624,2018-03-01,22153,Virginia,2018-03-01
128,Lakeland,0.2,170.24,2,South,fynota,Corporate,chocolates,First Class,6167,53.2,2018-03-01,33801,Florida,2018-03-01
129,Hamilton,0.2,7.408,2,East,kariox,Consumer,television,Standard Class,196,1.2038,2018-03-01,45011,Ohio,2018-03-01
130,Hamilton,0.2,6.048,3,East,kariox,Consumer,television,Standard Class,197,1.5876,2018-03-01,45011,Ohio,2018-03-01
131,Asheville,0.2,16.272,1,South,kariox,Corporate,laptop,Standard Class,5461,-3.8646,2018-03-01,28806,North Carolina,2018-03-01
132,Springfield,0,3499.93,7,South,fynota,Corporate,colddrinks,Standard Class,7584,909.9818,2018-03-01,22153,Virginia,2018-03-01
133,Springfield,0,122.97,3,South,kariox,Corporate,phone,Standard Class,7586,60.2553,2018-03-01,22153,Virginia,2018-03-01
134,Knoxville,0.2,218.376,3,South,qexty,Consumer,tshirts,Standard Class,8346,-10.9188,2018-03-01,37918,Tennessee,2018-03-01
135,Springfield,0,122.94,3,South,kariox,Corporate,headset,Standard Class,7588,59.0112,2018-03-01,22153,Virginia,2018-03-01
136,Knoxville,0.2,59.2,5,South,kariox,Consumer,tablet,Standard Class,8344,22.2,2018-03-01,37918,Tennessee,2018-03-01
137,Knoxville,0.2,32.952,3,South,qexty,Consumer,shorts,Standard Class,8345,6.5904,2018-03-01,37918,Tennessee,2018-03-01
138,Greensboro,0.7,7.644,4,South,kariox,Consumer,headset,Standard Class,1768,-5.8604,2018-03-01,27405,North Carolina,2018-03-01
139,Greensboro,0.7,51.465,5,South,kariox,Consumer,headset,Standard Class,1769,-39.4565,2018-03-01,27405,North Carolina,2018-03-01
140,Tucson,0.2,74.352,3,West,kariox,Corporate,phone,Standard Class,2871,23.235,2018-03-01,85705,Arizona,2018-03-01
141,Lakeland,0.2,4.992,3,South,qexty,Corporate,shorts,First Class,6165,1.3728,2018-03-01,33801,Florida,2018-03-01
142,Springfield,0,9.32,4,South,kariox,Corporate,television,Standard Class,7587,2.7028,2018-03-01,22153,Virginia,2018-03-01
143,Lakeland,0.7,33.57,5,South,kariox,Corporate,headset,First Class,6164,-25.737,2018-03-01,33801,Florida,2018-03-01
144,Jacksonville,0.2,8.016,3,South,kariox,Home Office,television,Standard Class,2700,1.002,2018-03-01,32216,Florida,2018-03-01
145,Lakeland,0.2,11.808,4,South,kariox,Corporate,tablet,First Class,6162,3.9852,2018-03-01,33801,Florida,2018-03-01
146,Jackson,0,12.96,2,South,kariox,Corporate,phone,Standard Class,7430,6.3504,2018-03-01,39212,Mississippi,2018-03-01
147,Jackson,0,16,4,South,kariox,Corporate,phone,Standard Class,7431,7.68,2018-03-01,39212,Mississippi,2018-03-01
148,Jackson,0,32.67,3,South,kariox,Corporate,battery,Standard Class,7432,8.4942,2018-03-01,39212,Mississippi,2018-03-01
149,Philadelphia,0.2,126.624,6,East,kariox,Corporate,phone,Second Class,8011,41.1528,2018-03-01,19134,Pennsylvania,2018-03-01
150,Jacksonville,0.5,821.3,4,South,fynota,Home Office,sweets,Standard Class,2697,-16.426,2018-03-01,32216,Florida,2018-03-01
151,Jacksonville,0.5,22638.48,6,South,fynota,Home Office,sweets,Standard Class,2698,-1811.0784,2018-03-01,32216,Florida,2018-03-01
152,Jacksonville,0.2,21.376,4,South,kariox,Home Office,phone,Standard Class,2699,7.4816,2018-03-01,32216,Florida,2018-03-01
153,Lakeland,0.2,26.16,3,South,kariox,Corporate,laptop,First Class,6163,1.962,2018-03-01,33801,Florida,2018-03-01
154,Tucson,0.2,314.352,3,West,qexty,Corporate,tshirts,Standard Class,2872,-35.3646,2018-03-01,85705,Arizona,2018-03-01
155,Jacksonville,0.2,18.936,3,South,kariox,Home Office,lighting,Standard Class,2702,5.9175,2018-03-01,32216,Florida,2018-03-01
156,Jacksonville,0.2,122.352,3,South,qexty,Home Office,shorts,Standard Class,2703,15.294,2018-03-01,32216,Florida,2018-03-01
157,San Francisco,0.15,1198.33,10,West,qexty,Home Office,pants,Second Class,6152,70.49,2018-03-01,94110,California,2018-03-01
158,Burbank,0,111,2,West,qexty,Home Office,shorts,Standard Class,7328,14.43,2018-03-01,91505,California,2018-03-01
159,Burbank,0.2,1279.968,4,West,fynota,Home Office,sweets,Standard Class,7329,415.9896,2018-03-01,91505,California,2018-03-01
160,Burbank,0,1856.19,7,West,kariox,Home Office,laptop,Standard Class,7330,334.1142,2018-03-01,91505,California,2018-03-01
161,Lakeland,0.2,323.976,3,South,fynota,Corporate,colddrinks,First Class,6161,28.3479,2018-03-01,33801,Florida,2018-03-01
162,Jacksonville,0.2,30.768,2,South,qexty,Home Office,shorts,Standard Class,2701,8.0766,2018-03-01,32216,Florida,2018-03-01
163,Portage,0,16.28,2,Central,kariox,Consumer,television,Same Day,4341,6.512,2018-03-01,46368,Indiana,2018-03-01
164,Los Angeles,0,66.3,3,West,fynota,Corporate,chocolates,Standard Class,4245,8.619,2018-03-01,90036,California,2018-03-01
165,Los Angeles,0.2,604.752,6,West,fynota,Consumer,colddrinks,Second Class,3556,37.797,2018-03-01,90036,California,2018-03-01
166,Seattle,0,44.4,3,West,kariox,Corporate,tablet,Standard Class,5285,22.2,2018-04-01,98105,Washington,2018-03-01
167,New York City,0,10.5,5,East,kariox,Corporate,television,First Class,5954,2.94,2018-03-01,10009,New York,2018-03-01
168,San Francisco,0.15,205.666,2,West,qexty,Consumer,pants,Standard Class,6139,-12.098,2018-04-01,94110,California,2018-03-01
169,Brownsville,0.2,335.72,5,Central,kariox,Home Office,watch,First Class,7630,113.3055,2018-04-01,78521,Texas,2018-03-01
170,Brownsville,0.2,251.944,7,Central,fynota,Home Office,colddrinks,First Class,7631,88.1804,2018-04-01,78521,Texas,2018-03-01
171,Brownsville,0.3,127.302,7,Central,qexty,Home Office,tshirts,First Class,7632,-9.093,2018-04-01,78521,Texas,2018-03-01
172,Apple Valley,0,129.3,2,Central,kariox,Consumer,laptop,Standard Class,8431,6.465,2018-04-01,55124,Minnesota,2018-03-01
173,Seattle,0,15.84,3,West,kariox,Corporate,laptop,Standard Class,5284,0,2018-04-01,98105,Washington,2018-03-01
174,San Francisco,0.2,673.568,2,West,kariox,Consumer,headset,Standard Class,2230,252.588,2018-04-01,94122,California,2018-03-01
175,Philadelphia,0.7,0.852,1,East,kariox,Consumer,headset,Same Day,4712,-0.5964,2018-03-01,19120,Pennsylvania,2018-03-01
176,Chicago,0.8,8.134,7,Central,kariox,Consumer,headset,Standard Class,5049,-13.8278,2018-04-01,60610,Illinois,2018-03-01
177,Chicago,0.2,79.984,2,Central,fynota,Consumer,chocolates,Standard Class,5050,13.9972,2018-04-01,60610,Illinois,2018-03-01
178,Miami,0.7,1.869,1,South,kariox,Corporate,headset,Standard Class,5480,-1.3083,2018-04-01,33180,Florida,2018-03-01
179,Tampa,0.2,1125.488,7,South,qexty,Consumer,tshirts,Same Day,9566,98.4802,2018-03-01,33614,Florida,2018-03-01
180,Tampa,0.7,12.645,5,South,kariox,Consumer,headset,Same Day,9567,-10.116,2018-03-01,33614,Florida,2018-03-01
181,Tampa,0.2,4.032,2,South,kariox,Consumer,television,Same Day,9568,1.0584,2018-03-01,33614,Florida,2018-03-01
182,San Francisco,0,52.98,2,West,kariox,Consumer,battery,Standard Class,2231,14.8344,2018-04-01,94122,California,2018-03-01
183,Los Angeles,0,330.4,2,West,kariox,Consumer,laptop,Second Class,3555,85.904,2018-03-01,90036,California,2018-03-01
184,Long Beach,0,49.65,5,East,kariox,Consumer,television,Standard Class,2897,20.853,2018-04-01,11561,New York,2018-03-01
185,Springfield,0.4,330.588,1,East,qexty,Home Office,hoodies,Standard Class,9900,-143.2548,2018-04-01,45503,Ohio,2018-03-01
186,Delray Beach,0.2,9.912,3,South,kariox,Consumer,tablet,First Class,6591,3.2214,2018-03-01,33445,Florida,2018-03-01
187,New York City,0,24.9,5,East,kariox,Consumer,phone,Standard Class,4480,11.703,2018-03-01,10024,New York,2018-03-01
188,Fresno,0,40.48,2,West,qexty,Consumer,shorts,Second Class,7802,14.5728,2018-03-01,93727,California,2018-03-01
189,New York City,0.1,366.786,7,East,qexty,Consumer,tshirts,Standard Class,2433,65.2064,2018-04-01,10009,New York,2018-03-01
190,San Francisco,0,6.56,2,West,kariox,Consumer,television,Standard Class,9307,1.9024,2018-03-01,94110,California,2018-03-01
191,San Francisco,0,14.88,2,West,kariox,Consumer,television,Standard Class,9308,3.72,2018-03-01,94110,California,2018-03-01
192,San Francisco,0,45.48,4,West,fynota,Consumer,chocolates,Standard Class,9309,15.918,2018-03-01,94110,California,2018-03-01
193,Plano,0.3,890.841,3,Central,qexty,Consumer,hoodies,Standard Class,7306,-152.7156,2018-04-01,75023,Texas,2018-03-01
194,San Francisco,0,25.44,6,West,kariox,Consumer,television,Standard Class,9310,9.9216,2018-03-01,94110,California,2018-03-01
195,San Francisco,0,3.36,2,West,kariox,Corporate,television,Second Class,9052,0.84,2018-03-01,94122,California,2018-03-01
196,San Francisco,0.2,27.936,4,West,kariox,Corporate,headset,Second Class,9053,9.4284,2018-03-01,94122,California,2018-03-01
197,San Francisco,0.2,28.784,2,West,fynota,Corporate,colddrinks,Second Class,9054,2.8784,2018-03-01,94122,California,2018-03-01
198,Pomona,0,18.75,5,West,kariox,Consumer,tablet,Second Class,9660,9,2018-03-01,91767,California,2018-03-01
199,Des Moines,0,6.12,3,Central,kariox,Consumer,watch,Standard Class,7840,2.8764,2018-04-01,50315,Iowa,2018-03-01
200,Des Moines,0,1184.72,4,Central,qexty,Consumer,hoodies,Standard Class,7841,106.6248,2018-04-01,50315,Iowa,2018-03-01
201,Albuquerque,0.2,302.376,3,West,fynota,Home Office,colddrinks,Standard Class,8464,22.6782,2018-04-01,87105,New Mexico,2018-03-01
202,Jackson,0,30.44,2,South,kariox,Corporate,headset,Standard Class,7429,14.9156,2018-03-01,39212,Mississippi,2018-03-01
203,Jackson,0,11.43,3,South,kariox,Corporate,headset,Standard Class,7428,5.3721,2018-03-01,39212,Mississippi,2018-03-01
204,Huntington Beach,0,10.56,2,West,kariox,Corporate,phone,Standard Class,1891,4.752,2018-03-01,92646,California,2018-03-01
205,Dallas,0.2,5.184,1,Central,kariox,Consumer,phone,Same Day,5102,1.8792,2018-03-01,75217,Texas,2018-03-01
206,Columbus,0.2,44.672,8,East,kariox,Corporate,laptop,Standard Class,7249,-10.0512,2018-03-01,43229,Ohio,2018-03-01
207,Houston,0.8,176.772,3,Central,kariox,Consumer,battery,Standard Class,7349,-459.6072,2018-03-01,77095,Texas,2018-03-01
208,San Diego,0.2,626.352,3,West,qexty,Consumer,hoodies,Standard Class,8712,-23.4882,2018-03-01,92037,California,2018-03-01
209,Columbia,0,354.9,5,South,kariox,Consumer,laptop,Same Day,1565,17.745,2018-03-01,29203,South Carolina,2018-03-01
